Species,Description,Best time in Port Orchard,Favorite foods,Typical habitat,Photo (link),Seen?,Date first seen,Notes,Source
Anna's Hummingbird,"Hardy, green-and-gray hummingbird; males with rosy-pink crown & gorget.",Year-round; most visible at feeders and winter-blooming shrubs.,"Flower nectar, small insects; sugar-water (1:4) at feeders.","Yards with flowers/feeders, parks, forest edges.",https://www.audubon.org/field-guide/bird/annas-hummingbird,,,,https://www.audubon.org/field-guide/bird/annas-hummingbird
Rufous Hummingbird,"Tiny, fiery-orange (male) migratory hummingbird; very territorial.",Spring–summer (Mar–Aug); migration peaks late Apr–Jun.,"Flower nectar, small insects; will use nectar feeders.","Woodland edges, gardens with tubular flowers.",https://www.allaboutbirds.org/guide/Rufous_Hummingbird,,,,https://www.allaboutbirds.org/guide/Rufous_Hummingbird
Black-capped Chickadee,"Friendly, black-capped, white-cheeked songbird; common at feeders.","Year-round; active mornings, vocal in spring.","Seeds (black oil sunflower), suet, insects, berries.","Mixed woods, yards with trees/shrubs.",https://www.audubon.org/field-guide/bird/black-capped-chickadee,,,,https://www.audubon.org/field-guide/bird/black-capped-chickadee
Chestnut-backed Chickadee,Small chickadee with rich chestnut back and sides; coastal forests.,Year-round; travels with mixed flocks fall–winter.,"Insects, seeds, suet.","Coniferous and mixed forests, forested neighborhoods.",https://www.allaboutbirds.org/guide/Chestnut-backed_Chickadee,,,,https://www.allaboutbirds.org/guide/Chestnut-backed_Chickadee
Dark-eyed Junco (Oregon form),Slate-hooded sparrow with white outer tail feathers; ground feeder.,Year-round; biggest yard flocks in fall–winter.,"Small seeds (millet), cracked corn, insects.","Woodland edges, brushy yards; forages on the ground.",https://www.audubon.org/field-guide/bird/dark-eyed-junco,,,,https://www.audubon.org/field-guide/bird/dark-eyed-junco
Spotted Towhee,"Striking black hood, rufous sides, white spots; scratch-feeding sparrow.",Year-round; most visible at dawn/dusk under shrubs.,Seeds and insects; spilled seed under feeders.,"Dense shrubs, hedges, brushy edges.",https://www.audubon.org/field-guide/bird/spotted-towhee,,,,https://www.audubon.org/field-guide/bird/spotted-towhee
Song Sparrow,"Brown streaky sparrow with a central breast spot; rich, varied song.",Year-round; singing all spring.,"Seeds, insects; visits platform/ground feeders.","Brushy yards, wetlands edges, hedgerows.",https://www.allaboutbirds.org/guide/Song_Sparrow,,,,https://www.allaboutbirds.org/guide/Song_Sparrow
American Robin,Familiar gray bird with orange breast; exuberant dawn singer.,Year-round; peak lawn-foraging spring–summer.,"Earthworms, insects, berries (fall–winter).","Lawns, parks, forest edges, berry shrubs.",https://www.allaboutbirds.org/guide/American_Robin,,,,https://www.allaboutbirds.org/guide/American_Robin
Northern Flicker (Red-shafted),Large woodpecker; brown with black spots; flashing red underwings.,Year-round; often feeding on ground ants.,"Ants, beetles; suet at feeders, fruits.","Open woods, yards with trees/snags, lawns.",https://www.allaboutbirds.org/guide/Northern_Flicker,,,,https://www.allaboutbirds.org/guide/Northern_Flicker
Red-breasted Nuthatch,Tiny tree-climbing bird; nasal yank-yank call; rusty underparts.,Year-round; irruptions bring many in some winters.,"Conifer seeds, sunflower, suet, insects.","Coniferous forests, yards with mature conifers.",https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch,,,,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch
Bewick's Wren,Brown wren with bold white eyebrow; active tail-flicking.,Year-round; sings from shrubs in spring.,Insects and spiders; rarely uses feeders.,"Brushy yards, thickets, hedgerows.",https://www.allaboutbirds.org/guide/Bewicks_Wren,,,,https://www.allaboutbirds.org/guide/Bewicks_Wren
Bushtit,"Tiny, gray flocking bird; travels in chatty groups through shrubs.",Year-round; roaming flocks fall–winter.,"Small insects, spiders; occasional suet.","Shrubby yards, forest edges, parks.",https://www.audubon.org/field-guide/bird/bushtit,,,,https://www.audubon.org/field-guide/bird/bushtit
House Finch,Red-faced (male) finch; streaky brown female; common at feeders.,Year-round; active mid-morning and late afternoon.,"Sunflower/safflower seed, buds, fruits.","Neighborhoods, farms, town centers.",https://www.allaboutbirds.org/guide/House_Finch,,,,https://www.allaboutbirds.org/guide/House_Finch
American Goldfinch,Bright yellow (male breeding) finch; bouncy flight; sweet 'potato-chip' call.,Year-round; most visible at nyjer/sunflower feeders spring–summer.,"Nyjer (thistle), sunflower chips, weed seeds.","Weedy fields, gardens, edges; feeder stations.",https://www.allaboutbirds.org/guide/American_Goldfinch,,,,https://www.allaboutbirds.org/guide/American_Goldfinch
Steller's Jay,Bold blue jay with dark crest; loud calls; often visits feeders.,Year-round; most conspicuous fall–winter.,"Nuts, seeds (esp. sunflower/peanuts), berries, insects.","Coniferous/mixed forests, wooded neighborhoods.",https://www.audubon.org/field-guide/bird/stellers-jay,,,,https://www.audubon.org/field-guide/bird/stellers-jay
